family	class	css_tokens	source_references	css_files
screen-candidate	dashboard-left-column	3	0	dashboard.css
screen-candidate	empty-state	3	0	components.css
screen-candidate	formation-grid-container	3	0	components.css
screen-candidate	formation-mobile-tabs	3	0	components.css
screen-candidate	info-callout	3	0	dashboard.css
screen-candidate	insight-metric-grid	3	0	components.css
screen-candidate	item-list	3	0	dashboard.css
screen-candidate	player-detail-tab	3	0	dashboard.css
screen-candidate	recent-matches	3	0	dashboard.css
screen-candidate	recent-matches-grid	3	0	dashboard.css
screen-candidate	schedule-item-icon-box	3	0	dashboard.css
screen-candidate	season-report-actions	3	0	components.css
screen-candidate	settings-hub-grid	3	0	components.css
screen-candidate	stat-info	3	0	dashboard.css
screen-candidate	topbar-breadcrumb	3	0	base.css
screen-candidate	yt-player-responsive-wrapper	3	0	components.css
screen-candidate	btn-sm	2	112	components.css,drawing.css
screen-candidate	coach-only	2	23	base.css
screen-candidate	collapsed	2	13	drawing.css
screen-candidate	side-info-val	2	8	drawing.css
screen-candidate	pitch-node	2	7	tactical.css
screen-candidate	anim-settings-popover	2	5	drawing.css
screen-candidate	cloud-recovery-empty	2	5	components.css
screen-candidate	dash-rank-item	2	4	dashboard.css
screen-candidate	settings-tab-panel	2	4	components-system.css
screen-candidate	active-tags-bar	2	3	components.css
screen-candidate	dash-record-draw	2	3	dashboard.css
screen-candidate	dash-record-loss	2	3	dashboard.css
screen-candidate	dash-record-win	2	3	dashboard.css
screen-candidate	filter-accordion-panel	2	3	components.css
screen-candidate	operations-diagnostics	2	3	components.css
screen-candidate	period-timeline-list	2	3	components-system.css
screen-candidate	player-bar-group	2	3	drawing.css
screen-candidate	tactics-only	2	3	drawing.css
screen-candidate	toast-container	2	3	components.css
screen-candidate	anim-app-container	2	2	drawing.css
screen-candidate	bottom-sheet-modal	2	2	components.css
screen-candidate	btn-add-menu	2	2	base.css
screen-candidate	btn-delete-practice	2	2	base.css
screen-candidate	btn-edit-practice	2	2	base.css
screen-candidate	btn-remove-development-note	2	2	components.css
screen-candidate	category-section	2	2	base.css
screen-candidate	dash-form-card	2	2	dashboard.css
screen-candidate	drawer-preset-chips	2	2	drawing.css
screen-candidate	goal-record-row	2	2	dashboard.css
screen-candidate	operations-check-action	2	2	components.css
screen-candidate	popover-arrow	2	2	drawing.css
screen-candidate	role-read-only	2	2	base.css
screen-candidate	sidebar-sync-row	2	2	base.css
screen-candidate	custom-formation-editor-layout	2	1	tactical.css
screen-candidate	dash-alert-btn	2	1	dashboard.css
screen-candidate	dash-alert-inner	2	1	dashboard.css
screen-candidate	dash-next-event-title	2	1	dashboard.css
screen-candidate	dash-season-record-card	2	1	dashboard.css
screen-candidate	drawer-close-btn	2	1	drawing.css
screen-candidate	filmstrip-card-title	2	1	drawing.css
screen-candidate	filmstrip-card__meta	2	1	components-system.css,drawing.css
screen-candidate	filmstrip-frame-num	2	1	drawing.css
screen-candidate	insight-progress	2	1	components.css
screen-candidate	insight-progress-row	2	1	components.css
screen-candidate	match-card-bottom-row	2	1	dashboard.css
screen-candidate	match-card-date	2	1	dashboard.css
screen-candidate	match-card-opponent	2	1	dashboard.css
screen-candidate	match-card-result	2	1	dashboard.css
screen-candidate	match-detail-attendance-details	2	1	components-system.css
screen-candidate	mobile-more-sheet	2	1	base.css,components.css
screen-candidate	modal-practice-form	2	1	components.css
screen-candidate	no-practice-menu	2	1	dashboard.css
screen-candidate	period-analysis-fullscreen	2	1	components.css
screen-candidate	period-analysis-header-center	2	1	drawing.css
screen-candidate	period-timeline-edit__seconds	2	1	components-system.css
screen-candidate	pk-kicker-row	2	1	components-system.css,components.css
screen-candidate	pk-kicker-row__select	2	1	components-system.css
screen-candidate	player-detail-tab-pane	2	1	dashboard.css
screen-candidate	player-notebook-trends	2	1	components.css
screen-candidate	practice-card-expanded-body	2	1	base.css
screen-candidate	practice-card-header-main	2	1	base.css
screen-candidate	practice-menu-actions-block	2	1	dashboard.css
screen-candidate	practice-menu-item-title	2	1	dashboard.css
screen-candidate	practice-plan-form	2	1	components.css
screen-candidate	roster-player-name	2	1	components.css
screen-candidate	season-report-summary	2	1	components.css
screen-candidate	setup-checklist-header	2	1	components.css
screen-candidate	setup-checklist-icon	2	1	components.css
screen-candidate	setup-checklist-items	2	1	components.css
screen-candidate	sidebar-version-btn	2	1	base.css
screen-candidate	summary-icon	2	1	base.css
screen-candidate	sync-conflict-note	2	1	components.css
screen-candidate	sync-conflict-summaries	2	1	components.css
screen-candidate	team-theme-editor	2	1	components-system.css
screen-candidate	team-theme-editor__picker	2	1	components-system.css
screen-candidate	avatar	2	0	base.css
screen-candidate	canvas-toolbar-section	2	0	drawing.css
screen-candidate	dash-attendance-playtime-wrapper	2	0	base.css
screen-candidate	dash-coach-widgets-container	2	0	base.css
screen-candidate	dash-matches-card	2	0	dashboard.css
screen-candidate	dash-schedule-card	2	0	dashboard.css
screen-candidate	dash-schedule-item-chip	2	0	base.css
screen-candidate	dash-schedule-widget	2	0	dashboard.css
screen-candidate	dash-stats-card	2	0	dashboard.css
screen-candidate	dashboard-right-column	2	0	dashboard.css
screen-candidate	decision-cards	2	0	components.css
screen-candidate	detail-box	2	0	dashboard.css
screen-candidate	filter-box	2	0	dashboard.css
screen-candidate	filter-search-box	2	0	components.css
screen-candidate	heatmap-name-col	2	0	dashboard.css
screen-candidate	heatmap-pos-col	2	0	dashboard.css
screen-candidate	heatmap-skill-col	2	0	dashboard.css
screen-candidate	insights-coaching-grid	2	0	components.css
screen-candidate	insights-comparison-grid	2	0	components.css
screen-candidate	insights-content-grid	2	0	components.css
screen-candidate	insights-hint	2	0	components.css
screen-candidate	insights-section-header	2	0	components.css
screen-candidate	library-category-section	2	0	base.css
screen-candidate	modal-layout-grid-2	2	0	components.css
screen-candidate	parent-share-security-note	2	0	components.css
screen-candidate	practice-card-header-title	2	0	dashboard.css
screen-candidate	practice-parent-rsvp	2	0	components.css
screen-candidate	schedule-item	2	0	dashboard.css
screen-candidate	season-report-help	2	0	components.css
screen-candidate	settings-grid	2	0	components.css
screen-candidate	skill-heatmap-container	2	0	dashboard.css
screen-candidate	timeline-item-badge	2	0	dashboard.css
screen-candidate	topbar-version-subtle	2	0	base.css
screen-candidate	workspace-help	2	0	components.css
screen-candidate	side-info-label	1	28	drawing.css
screen-candidate	side-info-card	1	27	drawing.css
screen-candidate	dash-no-data	1	11	dashboard.css
screen-candidate	parent-only	1	6	base.css
screen-candidate	pitch-node-number	1	6	tactical.css
screen-candidate	pitch-node-role	1	6	tactical.css
screen-candidate	dash-rank-list	1	5	dashboard.css
screen-candidate	sidebar-header	1	5	base.css
screen-candidate	corner-arc-bl	1	4	tactical.css
screen-candidate	corner-arc-br	1	4	tactical.css
screen-candidate	export-json-textarea	1	4	components-system.css
screen-candidate	feedback-box	1	4	dashboard.css
screen-candidate	goal-area-bottom	1	4	tactical.css
screen-candidate	operations-intro	1	4	components.css
screen-candidate	penalty-arc-bottom	1	4	tactical.css
screen-candidate	penalty-area-bottom	1	4	tactical.css
screen-candidate	penalty-spot-bottom	1	4	tactical.css
screen-candidate	practice-modal-title	1	4	components.css
screen-candidate	active-tag-label	1	3	components.css
screen-candidate	btn-anim-library	1	3	base.css
screen-candidate	cloud-recovery-history	1	3	components.css
screen-candidate	dash-alert-banner	1	3	dashboard.css
screen-candidate	dash-form-bar	1	3	dashboard.css
screen-candidate	dash-myplayer-content	1	3	dashboard.css
screen-candidate	dash-rank-medal	1	3	dashboard.css
screen-candidate	dash-record-sep	1	3	dashboard.css
screen-candidate	filter-accordion-grid	1	3	components.css
screen-candidate	mobile-context-title	1	3	base.css
screen-candidate	parent-access-invites	1	3	components.css
screen-candidate	parent-share-status	1	3	components.css
screen-candidate	pitch-node-name	1	3	tactical.css
screen-candidate	pk-kickers-list	1	3	components-system.css
screen-candidate	popover-label	1	3	drawing.css
screen-candidate	sync-audit-history	1	3	components.css
screen-candidate	sync-status-text	1	3	drawing.css
screen-candidate	workspace-context-status	1	3	components.css
screen-candidate	btn-anim-practice	1	2	base.css
screen-candidate	btn-assign-library	1	2	base.css
screen-candidate	btn-delete-assessment	1	2	base.css
screen-candidate	btn-delete-item	1	2	base.css
screen-candidate	btn-delete-library	1	2	base.css
screen-candidate	btn-delete-match	1	2	base.css
screen-candidate	btn-delete-menu	1	2	base.css
screen-candidate	btn-edit-assessment	1	2	base.css
screen-candidate	btn-edit-custom-formation	1	2	base.css
screen-candidate	btn-edit-library	1	2	base.css
screen-candidate	btn-edit-master-item	1	2	base.css
screen-candidate	btn-edit-menu	1	2	base.css
screen-candidate	btn-rsvp-attending	1	2	components.css
screen-candidate	btn-save-practice-template	1	2	base.css
screen-candidate	btn-use-current-timestamp	1	2	components-system.css
screen-candidate	canvas-hover-overlay	1	2	dashboard.css
screen-candidate	checkbox-group-container	1	2	components.css
screen-candidate	dash-action-icon	1	2	components.css
screen-candidate	dash-form-header	1	2	dashboard.css
screen-candidate	dash-schedule-list	1	2	dashboard.css
screen-candidate	goal-assist-select	1	2	dashboard.css
screen-candidate	goal-scorer-select	1	2	dashboard.css
screen-candidate	library-canvas-wrapper	1	2	dashboard.css
screen-candidate	modal-practice-plan	1	2	components.css
screen-candidate	pk-kicker-row__side-label	1	2	components-system.css
screen-candidate	popover-group	1	2	drawing.css
screen-candidate	practice-detail-section	1	2	base.css
screen-candidate	practice-plan-blocks	1	2	components.css
screen-candidate	practice-section-label	1	2	base.css
screen-candidate	side-panel-body	1	2	drawing.css
screen-candidate	side-panel-header	1	2	drawing.css
screen-candidate	sidebar-footer	1	2	base.css
screen-candidate	sidebar-footer-btn	1	2	base.css
screen-candidate	timeline-highlight-active	1	2	main.css
screen-candidate	anim-header-center	1	1	drawing.css
screen-candidate	anim-header-left	1	1	drawing.css
screen-candidate	anim-header-right	1	1	drawing.css
screen-candidate	app-container	1	1	base.css
screen-candidate	btn-icon	1	1	components.css
screen-candidate	btn-rsvp-absent	1	1	components.css
screen-candidate	canvas-toolbar	1	1	drawing.css
screen-candidate	confirm-btn-cancel	1	1	components.css
screen-candidate	confirm-btn-ok	1	1	components.css
screen-candidate	confirm-modal-actions	1	1	components.css
screen-candidate	confirm-modal-content	1	1	components.css
screen-candidate	confirm-modal-icon	1	1	components.css
screen-candidate	confirm-modal-message	1	1	components.css
screen-candidate	confirm-modal-title	1	1	components.css
screen-candidate	custom-formation-node-row	1	1	tactical.css
screen-candidate	custom-formation-nodes-list	1	1	tactical.css
screen-candidate	dash-action-center	1	1	components.css
screen-candidate	dash-action-center-list	1	1	components.css
screen-candidate	dash-myplayer-card	1	1	dashboard.css
screen-candidate	dash-next-event-countdown	1	1	dashboard.css
screen-candidate	dash-next-event-date	1	1	dashboard.css
screen-candidate	dash-record-meta	1	1	dashboard.css
screen-candidate	dash-record-numbers	1	1	dashboard.css
screen-candidate	dash-schedule-actions	1	1	dashboard.css
screen-candidate	dash-schedule-horizontal-bar	1	1	base.css
screen-candidate	dash-season-record-body	1	1	dashboard.css
screen-candidate	dashboard-grid	1	1	dashboard.css
screen-candidate	decision-card-icon	1	1	components.css
screen-candidate	decision-card-label	1	1	components.css
screen-candidate	drawer-body	1	1	drawing.css
screen-candidate	drawer-field-short	1	1	drawing.css
screen-candidate	drawer-header	1	1	drawing.css
screen-candidate	drawer-title	1	1	drawing.css
screen-candidate	eyebrow-label	1	1	components.css
screen-candidate	filmstrip-card-header	1	1	drawing.css
screen-candidate	header-actions	1	1	components.css
screen-candidate	heatmap-player-num	1	1	dashboard.css
screen-candidate	insight-activity-list	1	1	components.css
screen-candidate	insight-player-summary	1	1	components.css
screen-candidate	insights-recommendations	1	1	components.css
screen-candidate	match-attendance-badge	1	1	components-system.css
screen-candidate	match-attendance-badge__number	1	1	components-system.css
screen-candidate	match-detail-attendance-display	1	1	components-system.css
screen-candidate	match-detail-attendance-roster	1	1	components-system.css
screen-candidate	operations-body	1	1	components.css
screen-candidate	parent-access-empty	1	1	components.css
screen-candidate	parent-access-manager	1	1	components.css
screen-candidate	period-analysis-container	1	1	components.css
screen-candidate	period-analysis-header	1	1	drawing.css
screen-candidate	period-analysis-header-left	1	1	drawing.css
screen-candidate	period-analysis-header-right	1	1	drawing.css
screen-candidate	period-timeline-edit__seek	1	1	components-system.css
screen-candidate	pk-kicker-row__controls	1	1	components-system.css
screen-candidate	pk-kicker-row__header	1	1	components-system.css
screen-candidate	pk-kicker-row__label	1	1	components-system.css
screen-candidate	pk-shootout-editor	1	1	components-system.css
screen-candidate	pk-shootout-editor__header	1	1	components-system.css
screen-candidate	player-detail-badges	1	1	components-system.css
screen-candidate	player-detail-header-card	1	1	components-system.css
screen-candidate	player-detail-header-top	1	1	components-system.css
screen-candidate	player-detail-identity	1	1	components-system.css
screen-candidate	player-detail-main-name	1	1	components-system.css
screen-candidate	player-detail-number-badge	1	1	components-system.css
screen-candidate	player-detail-page	1	1	components-system.css
screen-candidate	player-notebook-empty	1	1	components.css
screen-candidate	player-notebook-timeline	1	1	components.css
screen-candidate	player-participation-list	1	1	components.css
screen-candidate	player-participation-metrics	1	1	components.css
screen-candidate	player-participation-panel	1	1	components.css
screen-candidate	player-participation-title	1	1	components.css
screen-candidate	popover-actions	1	1	drawing.css
screen-candidate	popover-color-dots	1	1	drawing.css
screen-candidate	popover-content	1	1	drawing.css
screen-candidate	popover-input-num	1	1	drawing.css
screen-candidate	practice-card-attendance-list	1	1	base.css
screen-candidate	practice-card-date	1	1	base.css
screen-candidate	practice-card-summary-badges	1	1	base.css
screen-candidate	practice-menu-details	1	1	base.css
screen-candidate	practice-menu-item-header	1	1	dashboard.css
screen-candidate	practice-menu-title-block	1	1	dashboard.css
screen-candidate	progress-bar-container	1	1	dashboard.css
screen-candidate	progress-bar-fill	1	1	dashboard.css
screen-candidate	rank-player-name	1	1	base.css
screen-candidate	rank-player-num	1	1	base.css
screen-candidate	season-report-body	1	1	components.css
screen-candidate	settings-tabs-nav	1	1	components-system.css
screen-candidate	side-pk-row	1	1	drawing.css
screen-candidate	sidebar-footer-actions	1	1	base.css
screen-candidate	sidebar-role-badge	1	1	base.css
screen-candidate	sidebar-sync-btn	1	1	base.css
screen-candidate	sidebar-user-card	1	1	base.css
screen-candidate	sidebar-version-row	1	1	base.css
screen-candidate	sl-settings	1	1	components.css
screen-candidate	sr-only	1	1	components.css
screen-candidate	stat-bar-inner	1	1	dashboard.css
screen-candidate	stat-bar-outer	1	1	dashboard.css
screen-candidate	sync-audit-empty	1	1	components.css
screen-candidate	sync-conflict-dialog-backdrop	1	1	components.css
screen-candidate	sync-conflict-dialog-icon	1	1	components.css
screen-candidate	sync-popover-header	1	1	drawing.css
screen-candidate	sync-time-label	1	1	drawing.css
screen-candidate	team-theme-editor__controls	1	1	components-system.css
screen-candidate	team-theme-editor__hex	1	1	components-system.css
screen-candidate	topbar-center	1	1	base.css
screen-candidate	topbar-end	1	1	base.css
screen-candidate	topbar-start	1	1	base.css
screen-candidate	workspace-management-body	1	1	components.css
screen-candidate	analysis-memo-section-container	1	0	components.css
screen-candidate	anim-menu-title-icon	1	0	drawing.css
screen-candidate	animation-container	1	0	drawing.css
screen-candidate	btn-capture-lg	1	0	components.css
screen-candidate	btn-dash-edit-match	1	0	base.css
screen-candidate	btn-dash-edit-prac	1	0	base.css
screen-candidate	btn-dash-score-match	1	0	base.css
screen-candidate	btn-edit-match	1	0	base.css
screen-candidate	canvas-toolbar-section-title	1	0	drawing.css
screen-candidate	center-spot	1	0	tactical.css
screen-candidate	coaching-insights-section	1	0	components.css
screen-candidate	corner-arc-tl	1	0	tactical.css
screen-candidate	corner-arc-tr	1	0	tactical.css
screen-candidate	dash-action-count	1	0	components.css
screen-candidate	dash-correlation-row	1	0	dashboard.css
screen-candidate	dash-mini-card	1	0	dashboard.css
screen-candidate	dash-mini-card-actions	1	0	dashboard.css
screen-candidate	dash-mini-card-date	1	0	dashboard.css
screen-candidate	dash-mini-card-footer	1	0	dashboard.css
screen-candidate	dash-mini-card-header	1	0	dashboard.css
screen-candidate	dash-mini-card-score	1	0	dashboard.css
screen-candidate	dash-mini-card-sub	1	0	dashboard.css
screen-candidate	dash-mini-card-title	1	0	dashboard.css
screen-candidate	dash-myplayer-comment-box	1	0	dashboard.css
screen-candidate	dash-myplayer-metric-box	1	0	dashboard.css
screen-candidate	dash-myplayer-metric-val	1	0	dashboard.css
screen-candidate	dash-parent-agenda	1	0	components.css
screen-candidate	dash-playtime-bar-inner	1	0	dashboard.css
screen-candidate	dash-playtime-bar-outer	1	0	dashboard.css
screen-candidate	dash-playtime-row	1	0	dashboard.css
screen-candidate	dash-practice-plan	1	0	components.css
screen-candidate	dash-rank-count	1	0	dashboard.css
screen-candidate	dash-rank-count-unit	1	0	dashboard.css
screen-candidate	dash-rank-name	1	0	dashboard.css
screen-candidate	dash-schedule-badge-match	1	0	base.css
screen-candidate	dash-schedule-badge-practice	1	0	base.css
screen-candidate	dash-schedule-chip-date	1	0	base.css
screen-candidate	dash-schedule-chip-title	1	0	base.css
screen-candidate	dash-schedule-info	1	0	dashboard.css
screen-candidate	dash-schedule-row-actions	1	0	dashboard.css
screen-candidate	dash-schedule-row-right	1	0	dashboard.css
screen-candidate	dash-schedule-row-sub	1	0	dashboard.css
screen-candidate	dash-schedule-row-title	1	0	dashboard.css
screen-candidate	dash-schedule-widget-header	1	0	dashboard.css
screen-candidate	dashboard-layout-row	1	0	dashboard.css
screen-candidate	decision-cards-section	1	0	components.css
screen-candidate	disabled-stale-header-card	1	0	components.css
screen-candidate	disabled-stale-left-container	1	0	components.css
screen-candidate	disabled-stale-meta-title-3	1	0	components.css
screen-candidate	disabled-stale-selector-a	1	0	components.css
screen-candidate	disabled-stale-selector-b	1	0	components.css
screen-candidate	empty-state-action	1	0	components.css
screen-candidate	empty-state-icon	1	0	components.css
screen-candidate	empty-state-text	1	0	components.css
screen-candidate	field-roster-list	1	0	components-system.css
screen-candidate	filter-accordion-footer	1	0	components.css
screen-candidate	filter-bar-container	1	0	components.css
screen-candidate	filter-main-row	1	0	components.css
screen-candidate	formation-modal-wide	1	0	components.css
screen-candidate	glass	1	0	base.css
screen-candidate	global-header	1	0	drawing.css
screen-candidate	goal-area-top	1	0	tactical.css
screen-candidate	heatmap-lvl-0	1	0	dashboard.css
screen-candidate	heatmap-lvl-1	1	0	dashboard.css
screen-candidate	heatmap-lvl-2	1	0	dashboard.css
screen-candidate	heatmap-lvl-3	1	0	dashboard.css
screen-candidate	heatmap-lvl-4	1	0	dashboard.css
screen-candidate	heatmap-lvl-5	1	0	dashboard.css
screen-candidate	insight-comparison-negative	1	0	components.css
screen-candidate	insight-comparison-positive	1	0	components.css
